cpu,memory,restart,anomaly,cpu_memory_ratio
89,276,5,1,0.322463768115942
39,608,1,0,0.06414473684210527
57,334,4,0,0.17065868263473055
9,895,0,0,0.01005586592178771
28,334,0,0,0.08383233532934131
38,909,1,0,0.041804180418041806
18,854,5,1,0.02107728337236534
59,473,1,0,0.12473572938689217
58,242,1,0,0.2396694214876033
54,222,2,0,0.24324324324324326
44,478,1,0,0.09205020920502092
16,113,1,0,0.1415929203539823
20,531,0,0,0.03766478342749529
44,363,5,1,0.12121212121212122
71,798,0,0,0.08897243107769423
75,502,5,1,0.14940239043824702
42,259,4,0,0.16216216216216217
57,882,2,0,0.06462585034013606
80,611,4,0,0.1309328968903437
18,791,3,0,0.022756005056890013
36,719,3,0,0.05006954102920723
94,298,5,1,0.31543624161073824
100,905,1,1,0.11049723756906077
60,948,5,1,0.06329113924050633
80,628,3,0,0.12738853503184713
29,796,5,1,0.0364321608040201
84,585,3,0,0.14358974358974358
48,762,5,1,0.06299212598425197
58,284,0,0,0.20422535211267606
94,892,5,1,0.10538116591928251
29,937,3,0,0.030949839914621132
79,930,4,0,0.08494623655913978
23,749,5,1,0.030707610146862484
88,167,1,0,0.5269461077844312
17,264,0,0,0.06439393939393939
22,399,3,0,0.05513784461152882
65,388,5,1,0.16752577319587628
87,993,1,0,0.08761329305135952
94,553,1,0,0.16998191681735986
76,467,3,0,0.16274089935760172
52,873,2,0,0.05956471935853379
25,392,4,0,0.06377551020408163
45,781,3,0,0.05761843790012804
69,451,3,0,0.15299334811529933
55,227,4,0,0.2422907488986784
16,141,4,0,0.11347517730496454
22,365,1,0,0.06027397260273973
90,819,2,0,0.10989010989010989
28,170,4,0,0.16470588235294117
91,712,4,0,0.12780898876404495
75,278,1,0,0.2697841726618705
40,103,4,0,0.3883495145631068
13,133,0,0,0.09774436090225563
41,791,4,0,0.051833122629582805
21,895,4,0,0.02346368715083799
65,848,4,0,0.07665094339622641
42,271,2,0,0.15498154981549817
18,901,5,1,0.01997780244173141
94,606,0,0,0.1551155115511551
41,768,1,0,0.053385416666666664
91,489,4,0,0.18609406952965235
19,928,0,0,0.020474137931034482
66,799,4,0,0.08260325406758448
80,784,2,0,0.10204081632653061
21,586,0,0,0.03583617747440273
13,252,2,0,0.051587301587301584
42,463,1,0,0.09071274298056156
5,804,2,0,0.006218905472636816
79,594,2,0,0.132996632996633
39,722,4,0,0.054016620498614956
20,361,1,0,0.055401662049861494
93,457,5,1,0.20350109409190373
91,356,1,0,0.2556179775280899
83,853,3,0,0.09730363423212192
85,210,0,0,0.40476190476190477
31,124,4,0,0.25
47,336,5,1,0.13988095238095238
54,790,5,1,0.06835443037974684
11,138,5,1,0.07971014492753623
56,573,3,0,0.09773123909249563
96,750,1,0,0.128
57,620,3,0,0.09193548387096774
93,944,2,1,0.09851694915254237
37,252,3,0,0.14682539682539683
58,592,5,1,0.09797297297297297
13,489,5,1,0.026584867075664622
79,248,1,0,0.3185483870967742
39,407,2,0,0.09582309582309582
96,291,5,1,0.32989690721649484
33,633,4,0,0.052132701421800945
79,188,3,0,0.42021276595744683
17,295,2,0,0.0576271186440678
30,236,2,0,0.1271186440677966
76,618,1,0,0.12297734627831715
53,915,0,0,0.05792349726775956
22,761,5,1,0.02890932982917214
85,646,3,0,0.13157894736842105
57,409,5,1,0.1393643031784841
59,913,5,1,0.06462212486308871
26,259,1,0,0.10038610038610038
21,641,1,0,0.0327613104524181
38,498,4,0,0.07630522088353414
43,449,3,0,0.0957683741648107
86,498,2,0,0.17269076305220885
27,461,0,0,0.05856832971800434
81,178,0,0,0.4550561797752809
57,791,2,0,0.07206068268015171
53,196,4,0,0.27040816326530615
75,885,4,0,0.0847457627118644
69,893,1,0,0.07726763717805152
55,291,1,0,0.18900343642611683
20,540,3,0,0.037037037037037035
51,705,2,0,0.07234042553191489
33,531,3,0,0.062146892655367235
57,145,0,0,0.3931034482758621
55,775,2,0,0.07096774193548387
49,538,4,0,0.09107806691449814
53,619,1,0,0.08562197092084006
87,851,0,0,0.10223266745005875
7,265,5,1,0.026415094339622643
16,204,5,1,0.0784313725490196
6,278,5,1,0.02158273381294964
22,261,1,0,0.0842911877394636
91,149,4,0,0.610738255033557
82,277,0,0,0.296028880866426
37,448,4,0,0.08258928571428571
30,780,4,0,0.038461538461538464
78,851,3,0,0.09165687426556991
6,334,4,0,0.017964071856287425
5,555,5,1,0.009009009009009009
90,767,0,0,0.11734028683181226
32,337,0,0,0.09495548961424333
34,487,5,1,0.06981519507186858
47,816,2,0,0.05759803921568627
70,873,0,0,0.08018327605956473
63,997,2,0,0.06318956870611836
35,481,2,0,0.07276507276507277
84,742,2,0,0.11320754716981132
42,847,5,1,0.049586776859504134
43,196,3,0,0.2193877551020408
95,507,3,0,0.1873767258382643
33,260,3,0,0.12692307692307692
69,597,5,1,0.11557788944723618
94,282,3,0,0.3333333333333333
45,728,2,0,0.061813186813186816
70,837,1,0,0.08363201911589008
15,873,1,0,0.01718213058419244
58,665,0,0,0.08721804511278196
38,742,1,0,0.05121293800539083
27,238,4,0,0.1134453781512605
72,259,1,0,0.277992277992278
72,676,0,0,0.10650887573964497
68,567,3,0,0.11992945326278659
71,367,1,0,0.19346049046321526
69,760,2,0,0.09078947368421053
26,530,2,0,0.04905660377358491
75,765,5,1,0.09803921568627451
20,193,4,0,0.10362694300518134
9,742,3,0,0.012129380053908356
83,512,0,0,0.162109375
61,490,4,0,0.12448979591836734
52,181,4,0,0.287292817679558
36,537,3,0,0.0670391061452514
29,783,0,0,0.037037037037037035
28,118,0,0,0.23728813559322035
25,541,3,0,0.04621072088724584
38,971,4,0,0.03913491246138002
7,229,2,0,0.03056768558951965
97,744,5,1,0.1303763440860215
44,982,1,0,0.04480651731160896
52,933,5,1,0.055734190782422297
32,257,3,0,0.1245136186770428
44,721,2,0,0.06102635228848821
73,616,2,0,0.1185064935064935
78,227,0,0,0.3436123348017621
27,350,0,0,0.07714285714285714
71,719,3,0,0.09874826147426982
67,916,3,0,0.07314410480349345
67,785,5,1,0.08535031847133757
22,698,4,0,0.03151862464183381
100,239,3,0,0.41841004184100417
48,227,5,1,0.21145374449339208
46,451,3,0,0.10199556541019955
62,982,5,1,0.06313645621181263
84,987,4,0,0.0851063829787234
56,370,4,0,0.15135135135135136
74,728,1,0,0.10164835164835165
48,250,4,0,0.192
16,988,1,0,0.016194331983805668
39,691,5,1,0.056439942112879886
61,363,5,1,0.16804407713498623
6,865,0,0,0.006936416184971098
28,524,2,0,0.05343511450381679
29,835,1,0,0.03473053892215569
69,769,2,0,0.08972691807542263
82,848,3,0,0.09669811320754718
84,855,4,0,0.09824561403508772
30,513,4,0,0.05847953216374269
72,631,4,0,0.11410459587955626
16,475,2,0,0.03368421052631579
17,888,4,0,0.019144144144144143
89,419,3,0,0.21241050119331742
49,925,4,0,0.05297297297297297
54,170,1,0,0.3176470588235294
49,553,0,0,0.08860759493670886
47,324,2,0,0.14506172839506173
43,535,4,0,0.08037383177570094
51,708,5,1,0.07203389830508475
67,961,4,0,0.06971904266389178
43,554,3,0,0.0776173285198556
55,245,5,1,0.22448979591836735
52,498,3,0,0.10441767068273092
86,343,2,0,0.25072886297376096
38,731,0,0,0.05198358413132695
78,607,3,0,0.128500823723229
55,351,1,0,0.15669515669515668
78,150,1,0,0.52
26,732,4,0,0.03551912568306011
10,700,1,0,0.014285714285714285
36,421,3,0,0.0855106888361045
90,405,1,0,0.2222222222222222
58,938,3,0,0.06183368869936034
34,911,1,0,0.03732162458836443
87,741,4,0,0.11740890688259109
32,455,4,0,0.07032967032967033
30,804,5,1,0.03731343283582089
10,746,5,1,0.013404825737265416
87,507,1,0,0.17159763313609466
24,692,2,0,0.03468208092485549
73,356,2,0,0.2050561797752809
16,580,3,0,0.027586206896551724
33,673,3,0,0.04903417533432392
75,644,0,0,0.11645962732919254
49,202,5,1,0.24257425742574257
93,707,0,0,0.13154172560113153
90,558,2,0,0.16129032258064516
9,208,5,1,0.04326923076923077
19,901,0,0,0.021087680355160933
16,913,0,0,0.017524644030668127
64,441,1,0,0.14512471655328799
76,622,2,0,0.12218649517684887
82,540,3,0,0.15185185185185185
93,761,5,1,0.12220762155059132
44,321,2,0,0.13707165109034267
32,121,0,0,0.2644628099173554
5,829,1,0,0.006031363088057901
73,710,3,0,0.1028169014084507
73,339,0,0,0.2153392330383481
37,802,1,0,0.046134663341645885
46,931,2,0,0.04940923737916219
9,603,3,0,0.014925373134328358
100,470,0,0,0.2127659574468085
59,333,2,0,0.17717717717717718
75,525,5,1,0.14285714285714285
18,466,3,0,0.03862660944206009
91,234,0,0,0.3888888888888889
42,130,1,0,0.3230769230769231
62,203,0,0,0.3054187192118227
16,810,3,0,0.019753086419753086
81,694,4,0,0.11671469740634005
90,859,5,1,0.10477299185098952
61,422,5,1,0.14454976303317535
59,417,1,0,0.14148681055155876
60,490,1,0,0.12244897959183673
13,854,3,0,0.01522248243559719
64,909,2,0,0.0704070407040704
93,655,1,0,0.14198473282442747
7,134,4,0,0.05223880597014925
100,622,5,1,0.1607717041800643
92,807,4,1,0.11400247831474597
77,294,1,0,0.2619047619047619
83,346,2,0,0.2398843930635838
49,523,4,0,0.09369024856596558
46,694,4,0,0.06628242074927954
13,477,1,0,0.027253668763102725
5,873,4,0,0.0057273768613974796
51,269,1,0,0.1895910780669145
53,328,4,0,0.16158536585365854
77,888,3,0,0.08671171171171171
86,755,2,0,0.11390728476821192
14,192,5,1,0.07291666666666667
88,143,4,0,0.6153846153846154
68,937,0,0,0.07257203842049093
8,975,4,0,0.008205128205128205
36,816,0,0,0.04411764705882353
20,461,3,0,0.04338394793926247
44,657,2,0,0.0669710806697108
73,590,5,1,0.12372881355932204
60,795,4,0,0.07547169811320754
63,100,1,0,0.63
39,490,4,0,0.07959183673469387
40,864,0,0,0.046296296296296294
96,705,1,0,0.13617021276595745
89,962,5,1,0.09251559251559252
56,150,2,0,0.37333333333333335
90,407,0,0,0.22113022113022113
98,400,1,0,0.245
19,664,4,0,0.0286144578313253
95,750,1,0,0.12666666666666668
12,634,1,0,0.01892744479495268
32,814,5,1,0.03931203931203931
35,294,0,0,0.11904761904761904
21,586,0,0,0.03583617747440273
30,602,4,0,0.04983388704318937
93,294,0,0,0.3163265306122449
29,634,5,1,0.04574132492113565
98,636,3,0,0.1540880503144654
15,189,4,0,0.07936507936507936
